,inputs,outputs,prediction
17,"where is home  home is where is your heart is, at home#address okay, how far away am i and send me the quickest route you are Palo_Alto_Medical_Foundation#distance away from home with Pizza_Chicago#traffic_info noted.  thank you very much car!",you are welcome driver!,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> happy to <unk> <eos>
18,"where is home  home is where is your heart is, at home#address okay, how far away am i and send me the quickest route you are Palo_Alto_Medical_Foundation#distance away from home with Pizza_Chicago#traffic_info noted.  thank you very much car! you are welcome driver! no response needed",glad to help,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> happy to <unk> <eos>
19,where is the closest grocery store,we are Pizza_Chicago#distance away from grocery_store#poi and from grocery_store#poi: which one do you prefer?,<pad> <pad> <pad> <pad> <pad> <pad> from <pad> is in want <unk> which do do want go to <unk> <eos>
20,where is the closest grocery store we are Pizza_Chicago#distance away from grocery_store#poi and from grocery_store#poi: which one do you prefer? safeway.,grocery_store#poi is located at Safeway#address.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> with with are <unk> <eos>
21,where is the closest grocery store we are Pizza_Chicago#distance away from grocery_store#poi and from grocery_store#poi: which one do you prefer? safeway. grocery_store#poi is located at Safeway#address. pick the quickest route to go there and send the info on my screen please,"you're all set, drive carefully!",<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> with with are <unk> <eos>
22,give me directions to the closest grocery store,we're Palo_Alto_Medical_Foundation#distance away from grocery_store#poi but there is a Valero#traffic_info,we're <pad> away from away but there is this in this <unk> do i set the gps to go <eos>
23,give me directions to the closest grocery store we're Palo_Alto_Medical_Foundation#distance away from grocery_store#poi but there is a Valero#traffic_info what is the next closest location?,i'm sorry but there are no other options nearby,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <unk> the you is <unk> <eos>
24,"give me directions to the closest grocery store we're Palo_Alto_Medical_Foundation#distance away from grocery_store#poi but there is a Valero#traffic_info what is the next closest location? i'm sorry but there are no other options nearby ok, well make a route to the willows market then, try to avoid the car accident.","ok driver, making a route to grocery_store#poi and avoiding the car accident.",<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <unk> the you is <unk> <eos>
25,"give me directions to the closest grocery store we're Palo_Alto_Medical_Foundation#distance away from grocery_store#poi but there is a Valero#traffic_info what is the next closest location? i'm sorry but there are no other options nearby ok, well make a route to the willows market then, try to avoid the car accident.  ok driver, making a route to grocery_store#poi and avoiding the car accident.  that's great! thank you car!",you are welcome driver!,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <unk> the you is <unk> <eos>
26,where does my friend live?,jill's house is located Stanford_Express_Care#distance away at jills_house#addressnue.,<pad> <pad> <pad> <pad> <pad> <pad> two <pad> <pad> <pad> <pad> <unk> <pad> <pad> do you lives to <unk> <eos>
27,where does my friend live? jill's house is located Stanford_Express_Care#distance away at jills_house#addressnue.,sorry i didn't get that.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> the it is the this <unk> in <unk> <eos>
28,"where does my friend live? jill's house is located Stanford_Express_Care#distance away at jills_house#addressnue.   sorry i didn't get that. i was thinking about something that happened to jill yesterday, long story.. please pick a quick route to get there, thank you!",the quickest route is jills_house#address. at Stanford_Express_Care#distance. we will be there shortly.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> i to <unk> <eos>
29,"where does my friend live? jill's house is located Stanford_Express_Care#distance away at jills_house#addressnue.   sorry i didn't get that. i was thinking about something that happened to jill yesterday, long story.. please pick a quick route to get there, thank you! the quickest route is jills_house#address. at Stanford_Express_Care#distance. we will be there shortly.  thank you!",you're welcome!,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> i to <unk> <eos>
30,what is the highest temperature in brentwood over the next two days?,it will be 80f on lab_appointment#date in brentwood.,<pad> <pad> <pad> <pad> <pad> <pad> the next the the the will be in in grand in grand rapids <eos>
31,what is the highest temperature in brentwood over the next two days? it will be 80f on lab_appointment#date in brentwood. thank you very much car!,you're very welcome!,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> you're <unk> <eos>
32,set reminder for dinner at 11am with mom on friday,"okay, scheduling lab_appointment#date dinner with mom at lab_appointment#time.",<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <unk> the for your appointment is <unk> for dinner reminder <unk> <eos>
33,"set reminder for dinner at 11am with mom on friday okay, scheduling lab_appointment#date dinner with mom at lab_appointment#time. thank you, we are done for now.",you are welcome.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> you are <unk> <eos>
34,what time is dinner tonight,your dinner is lab_appointment#time tonight.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> dinner dinner at at <unk> <eos>
35,what are the directions to the closest parking garage,"the closest parking garage is parking_garage#poi, located Pizza_Chicago#distance away at Civic_Center_Garage#address.",<pad> <pad> <pad> <pad> <pad> <pad> nearest the nearest parking is <pad> the <unk> <unk> a the is <unk> <eos>
36,"what are the directions to the closest parking garage the closest parking garage is parking_garage#poi, located Pizza_Chicago#distance away at Civic_Center_Garage#address. thank you",you're welcome.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> drive <unk> <eos>
37,give me directions to the nearest shopping center,"i've set the gps to shopping_center#poi, Stanford_Shopping_Center#address, it's Mandarin_Roots#distance away",<pad> <pad> <pad> <pad> <pad> <pad> <pad> we are <pad> away from shopping mall it sound good to <unk> <eos>
38,"give me directions to the nearest shopping center i've set the gps to shopping_center#poi, Stanford_Shopping_Center#address, it's Mandarin_Roots#distance away thanks",you're welcome,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> i <pad> you're <unk> <eos>
39,find the address to a hospital or clinic.,hospital#poi is at Stanford_Express_Care#address.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> is <unk> away <pad> there is and on mile <unk> <eos>
40,find the address to a hospital or clinic. hospital#poi is at Stanford_Express_Care#address. thank you.,good day,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> you are <unk> <eos>
41,is it going to snow this week,where should i check for snow?,<pad> <pad> <pad> <pad> <pad> <pad> <pad> what city are you wanting to give you it's going to <unk> <eos>
42,is it going to snow this week where should i check for snow? corona,there will be no snow in corona this week.,<pad> <pad> <pad> <pad> <pad> <pad> will will will be rain rain in in over the next 7 <unk> <eos>
43,is it going to snow this week where should i check for snow? corona there will be no snow in corona this week. thank you car!,no problem my driver!,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> you no <unk> <eos>
44,i need a reminder for dinner.,what time shall i set a dinner reminder?,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> what time you you add to at <unk> <eos>
45,"i need a reminder for dinner.  what time shall i set a dinner reminder? set my reminder for dinner at 7 pm, for the 6th of this month with my beloved marie.","i will set a reminder for dinner at meeting#time, for dentist_appointment#date of this month with yoga_activity#party.",<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> a reminder <unk> <eos>
46,"i need a reminder for dinner.  what time shall i set a dinner reminder? set my reminder for dinner at 7 pm, for the 6th of this month with my beloved marie.  i will set a reminder for dinner at meeting#time, for dentist_appointment#date of this month with yoga_activity#party. thanks",you are welcome,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> a reminder <unk> <eos>
47,will it be warm in compton on wednesday?,it will not be warm in compton on lab_appointment#date.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> forecast forecast on on <unk> in in to <unk> <eos>
48,will it be warm in compton on wednesday? it will not be warm in compton on lab_appointment#date. thank you.,anytime.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <unk> <eos>
49,"set me a reminder for football activity at 1pm, this month on the 11th, with marie.",reminder for football on tennis_activity#date of this month at meeting#time with yoga_activity#party is set.,<pad> <pad> <pad> <pad> <unk> setting a reminder for a football activity with of for for 22nd is <unk> <eos>
50,"set me a reminder for football activity at 1pm, this month on the 11th, with marie.  reminder for football on tennis_activity#date of this month at meeting#time with yoga_activity#party is set.  thanks buddy.",anytime.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> happy to <unk> <eos>
51,set an appointment for swimming,what time would like me to set the appointment?,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> what date would you like that appointment set <unk> <eos>
52,set an appointment for swimming what time would like me to set the appointment? at 3pm on saturday please,okay i set your appointment for football_activity#time on taking_medicine#date. have a good time!,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> happy you're welcome <eos>
53,i need gas.,gas_station#poi is Palo_Alto_Garage_R#distance away.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> from <unk> which one do are <unk> <eos>
54,i need gas. gas_station#poi is Palo_Alto_Garage_R#distance away. what is the address?,gas_station#poi is at Valero#addressnue.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> is located at <unk> <eos>
55,i need gas. gas_station#poi is Palo_Alto_Garage_R#distance away. what is the address? gas_station#poi is at Valero#addressnue.  can i have some route details? i would like to avoid any heavy traffic there,"i sent the best possible route on screen but there will be Pizza_Chicago#traffic_info anyway, i'm sorry",<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> you're <unk> <eos>
56,"i need gas. gas_station#poi is Palo_Alto_Garage_R#distance away. what is the address? gas_station#poi is at Valero#addressnue.  can i have some route details? i would like to avoid any heavy traffic there i sent the best possible route on screen but there will be Pizza_Chicago#traffic_info anyway, i'm sorry it's okay, thank you car!",you're welcome!,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> you're <unk> <eos>
57,take me to my friend's house,"your friends house is on certain_address#poi, there is Dominos#traffic_info on our way but we're just dentist_appointment#partys_house#distance away",i don't see your friend's house in the <unk> home is <unk> <unk> would you like to go <unk> <eos>
58,"take me to my friend's house your friends house is on certain_address#poi, there is Dominos#traffic_info on our way but we're just dentist_appointment#partys_house#distance away what about the address of my home.","it must have been a hard day for you if you don't remember the address of your home.. home#address, i was kidding, don't crash me, please",<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> you're <unk> <eos>
59,"take me to my friend's house your friends house is on certain_address#poi, there is Dominos#traffic_info on our way but we're just dentist_appointment#partys_house#distance away what about the address of my home. it must have been a hard day for you if you don't remember the address of your home.. home#address, i was kidding, don't crash me, please thanks for the help.",you're welcome!,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> you're <unk> <eos>
60,where can i go shopping?,we're Palo_Alto_Medical_Foundation#distance away from shopping_center#poi and there is Mandarin_Roots#traffic_info on our way,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> at is is <unk> <eos>
61,where can i go shopping? we're Palo_Alto_Medical_Foundation#distance away from shopping_center#poi and there is Mandarin_Roots#traffic_info on our way sounds amazing. set the gps to go there.,"you got it, gps set.",<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> have is could <unk> <eos>
62,"where can i go shopping? we're Palo_Alto_Medical_Foundation#distance away from shopping_center#poi and there is Mandarin_Roots#traffic_info on our way sounds amazing. set the gps to go there.  you got it, gps set. thanks!",no problem!,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> have is could <unk> <eos>
63,does the forecast call for snow today,tell me what city you would like to know about snow today?,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> there is no snow in the forecast <unk> <eos>
64,does the forecast call for snow today tell me what city you would like to know about snow today? cleveland.,it will not snow in cleveland today.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> in <pad> are new <unk> <eos>
65,does the forecast call for snow today tell me what city you would like to know about snow today? cleveland.  it will not snow in cleveland today. thanks.,you are welcome.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> in <pad> are new <unk> <eos>
66,get me directions to a local cafe,we're Stanford_Express_Care#distance away from coffee_or_tea_place#poi: would you like to go there?,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> is are cafe local <unk> would is like the at <unk> <eos>
67,get me directions to a local cafe we're Stanford_Express_Care#distance away from coffee_or_tea_place#poi: would you like to go there? yes.,navigating you to coffee_or_tea_place#poi.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> located you're <unk> <eos>
68,get me directions to a local cafe we're Stanford_Express_Care#distance away from coffee_or_tea_place#poi: would you like to go there? yes. navigating you to coffee_or_tea_place#poi. thanks can you provide the address and is this the fastest route?,"the address is Starbucks#address, i sent the info on your screen, drive carefully!",<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> located you're <unk> <eos>
69,schedule conference with sales team on the 11th of this month 9am,"okay, scheduling a conference with the meeting#party at football_activity#time on tennis_activity#date of this month.",<pad> <pad> <pad> <pad> <pad> <pad> <pad> your is meeting with your on the month month month at <unk> <eos>
70,"schedule conference with sales team on the 11th of this month 9am  okay, scheduling a conference with the meeting#party at football_activity#time on tennis_activity#date of this month. thanks.",you are welcome.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> to <unk> <eos>
71,what time is my doctor apartment and who is it with?,are you talking about the doctor appointment on lab_appointment#date or the one on football_activity#date?,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> you have to to appointment is and at with with <unk> <eos>
72,what time is my doctor apartment and who is it with? are you talking about the doctor appointment on lab_appointment#date or the one on football_activity#date? the one on wednesday.,your doctor appointment on lab_appointment#date is at dinner#time with your football_activity#party.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> your happy to <unk> <eos>
73,what time is my doctor apartment and who is it with? are you talking about the doctor appointment on lab_appointment#date or the one on football_activity#date? the one on wednesday. your doctor appointment on lab_appointment#date is at dinner#time with your football_activity#party. and how about the one on the 5th?,your doctors appointment on football_activity#date is at lab_appointment#time with football_activity#party.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> your happy to <unk> <eos>
74,what's the weather forecast for today and tomorrow,in what city are you interested?,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> what city are you interested in knowing the forecast <unk> <eos>
75,what's the weather forecast for today and tomorrow in what city are you interested? los angeles,"in los angeles, it will rain today and be 40dinner#agenda60f.  dentist_appointment#partyorrow, it will be warm and 60dinner#agenda80f.",in los <unk> in <unk> <unk> with <unk> <unk> with low low of with <unk> in in <unk> <unk> <eos>
76,"what's the weather forecast for today and tomorrow in what city are you interested? los angeles in los angeles, it will rain today and be 40dinner#agenda60f.  dentist_appointment#partyorrow, it will be warm and 60dinner#agenda80f. thanks.",no problem.,today <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> today <pad> <pad> <pad> today you're <unk> <eos>
77,give me directions to the nearest shopping mall,there is the shopping_center#poi Palo_Alto_Medical_Foundation#distance away and Mandarin_Roots#traffic_info on the route: set this destination on your gps?,<pad> <pad> <pad> <pad> <pad> <pad> <pad> we are <unk> away from <unk> does it sound good to <unk> <eos>
78,give me directions to the nearest shopping mall there is the shopping_center#poi Palo_Alto_Medical_Foundation#distance away and Mandarin_Roots#traffic_info on the route: set this destination on your gps? yes please that sounds perfect.,setting gps to shopping_center#poi. anything else?,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> the <unk> on you're <unk> <eos>
79,"give me directions to the nearest shopping mall there is the shopping_center#poi Palo_Alto_Medical_Foundation#distance away and Mandarin_Roots#traffic_info on the route: set this destination on your gps? yes please that sounds perfect.  setting gps to shopping_center#poi. anything else? that will be all, thanks.",no problem!,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> the <unk> on you're <unk> <eos>
80,find me the quickest route to the grocery store.,grocery_store#poi is the closest grocery store 1 mile away,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> is which is our <unk> <eos>
81,"find me the quickest route to the grocery store.  grocery_store#poi is the closest grocery store 1 mile away ok, please give me the address and directions via the quickest route.","setting navigation to Hacienda_Market#address now. there is a Dish_Parking#traffic_info, so drive carefully.",<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> to <pad> <unk> <eos>
82,"find me the quickest route to the grocery store.  grocery_store#poi is the closest grocery store 1 mile away ok, please give me the address and directions via the quickest route.  setting navigation to Hacienda_Market#address now. there is a Dish_Parking#traffic_info, so drive carefully.  thank you.",no problem,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> to <pad> <unk> <eos>
83,give me the forecast for the next 7 days,for what city?,<pad> <pad> <pad> <pad> <pad> <pad> <pad> what city would you like to hear the 7 day forecast <unk> <eos>
84,give me the forecast for the next 7 days for what city? downtown chicago,"in downtown chicago it will be humid on football_activity#date, snow on tueday, dry on lab_appointment#date, frost on football_activity#date, drizzle on lab_appointment#date, clear skies on meeting#date and dinner#date",in <unk> in weather forecast be <unk> in <unk> the the the near rain and the <unk> and <unk> <eos>
85,"give me the forecast for the next 7 days for what city? downtown chicago in downtown chicago it will be humid on football_activity#date, snow on tueday, dry on lab_appointment#date, frost on football_activity#date, drizzle on lab_appointment#date, clear skies on meeting#date and dinner#date okay, thank you car!",you are welcome!,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> have <pad> <pad> <unk> <eos>
86,"car, find the date and time for my tennis activity.",your tennis activity is on yoga_activity#date at dinner#time and your lab_appointment#party will be attending.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> your tennis activity is on at at <unk> <eos>
87,"car, find the date and time for my tennis activity. your tennis activity is on yoga_activity#date at dinner#time and your lab_appointment#party will be attending. thanks",you're welcome,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> you are <unk> <eos>
88,schedule meeting,schedule a meeting for what time and day?,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <unk> on what date and time should i schedule your meeting <eos>
89,schedule meeting schedule a meeting for what time and day? i need it for saturday at 1pm with sales team to go over budget.,setting meeting for taking_medicine#date at meeting#time with meeting#party to conference#agenda.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> to <unk> <eos>
90,"schedule meeting schedule a meeting for what time and day? i need it for saturday at 1pm with sales team to go over budget. setting meeting for taking_medicine#date at meeting#time with meeting#party to conference#agenda.  okay nice, thank you.",my pleasure.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> to <unk> <eos>
91,what is the weather going to be today and tomorrow,what city would you like to know the weather about?,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> what city would you like this weather <unk> <eos>
92,what is the weather going to be today and tomorrow what city would you like to know the weather about? i want to know if it will drizzle in durham,it is not predicted to drizzle any today or dentist_appointment#partyorrow in durham.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> you're <unk> <eos>
93,what is the weather going to be today and tomorrow what city would you like to know the weather about? i want to know if it will drizzle in durham it is not predicted to drizzle any today or dentist_appointment#partyorrow in durham. thank you,anytime,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> you're <unk> <eos>
94,check forecast for today and tomorrow,what city do you want to hear the forecast for?,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> city can i give you today and <unk> forecast <unk> <eos>
95,check forecast for today and tomorrow what city do you want to hear the forecast for? mountain view,it will be overcast today and stormy dentist_appointment#partyorrow in mountain view.,<pad> <pad> <pad> in mountain view mountain probably will be <unk> with <unk> of <unk> and <unk> in <unk> <eos>
96,check forecast for today and tomorrow what city do you want to hear the forecast for? mountain view it will be overcast today and stormy dentist_appointment#partyorrow in mountain view. thanks.,you're welcome!,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> are <unk> <eos>
97,what's the weather going to be like this week,what location should i look up the weekly forecast for?,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> what city do you want the weather <unk> <eos>
98,what's the weather going to be like this week what location should i look up the weekly forecast for?  will it be hot in brentwood?,it should not be hot in brentwood this week.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> this <unk> <eos>
