,inputs,outputs,prediction
25,what gas stations are here?,there is a chevron.,"['<pad>', '<pad>', 'we', 'a', 'is', '2', 'miles', 'away', '<unk>', '<eos>']"
26,what's the temperature going to be like on friday,what city should i find friday's temperature for?,"['what', 'city', 'do', 'you', 'want', 'the', 'weather', 'for', '<unk>', '<eos>']"
27,give me directions to the closest grocery store,there are whole foods 2 miles away and sigona farmers market 4 miles away. where do we go?,"['<pad>', '<pad>', '<pad>', 'you', 'navigating', 'to', 'to', 'safeway', '<unk>', '<eos>']"
28,where is home,"home is where is your heart is, at 56 cadwell street","['sure', '<pad>', 'is', 'you', 'you', 'at', 'located', 'locally', '<unk>', '<eos>']"
29,where is the closest grocery store,we are 4 miles away from whole foods and from safeway: which one do you prefer?,"['<pad>', '<pad>', '<pad>', '<pad>', 'is', '5', '5', 'hospital', '<unk>', '<eos>']"
30,give me directions to the closest grocery store,we're 3 miles away from willows market but there is a car collision nearby,"['<pad>', '<pad>', '<pad>', 'you', 'navigating', 'to', 'to', 'safeway', '<unk>', '<eos>']"
31,where does my friend live?,jill's house is located 5 miles away at 347 alta mesa avenue.,"['<pad>', 'jill', 'lives', 'at', '347', 'alta', 'mesa', 'ave', '<unk>', '<eos>']"
32,what time is dinner tonight,your dinner is 5pm tonight.,"['<pad>', '<pad>', '<pad>', 'you', 'you', 'you', 'you', 'pm', '<unk>', '<eos>']"
33,what are the directions to the closest parking garage,"the closest parking garage is civic center garage, located 4 miles away at 270 altaire walk.","['stanford', 'closest', 'the', 'closest', 'at', 'standford', 'el', 'closest', '<unk>', '<eos>']"
34,give me directions to the nearest shopping center,"i've set the gps to stanford shopping center, 773 alger dr, it's 2 miles away","['<pad>', '<pad>', '<pad>', 'the', 'is', 'is', 'is', 'nearby', '<unk>', '<eos>']"
35,find the address to a hospital or clinic.,stanford express care is at 214 el camino real.,"['<pad>', '<pad>', 'is', 'is', 'at', 'at', 'cadwell', 'street', '<unk>', '<eos>']"
36,is it going to snow this week,where should i check for snow?,"['<pad>', '<pad>', 'what', 'city', 'are', 'you', 'inquiring', 'for', '<unk>', '<eos>']"
37,i need a reminder for dinner.,what time shall i set a dinner reminder?,"['<pad>', '<pad>', '<pad>', '<unk>', 'is', '<unk>', 'is', '<unk>', '<unk>', '<eos>']"
38,will it be warm in compton on wednesday?,it will not be warm in compton on wednesday.,"['it', '<unk>', 'not', 'be', 'stormy', 'in', 'carson', 'on', 'wednesday', '<eos>']"
39,set an appointment for swimming,what time would like me to set the appointment?,"['what', 'set', 'set', 'will', 'set', 'be', 'the', 'set', '<unk>', '<eos>']"
40,i need gas.,valero is 4 miles away.,"['<pad>', '<pad>', '<pad>', 'foods', 'is', 'are', 'miles', 'away', '<unk>', '<eos>']"
41,take me to my friend's house,"your friends house is on 5677 southwest 4th street, there is moderate traffic on our way but we're just 1 miles away","['<pad>', '<pad>', '<pad>', 'address', 'address', 'to', 'to', 'street', '<unk>', '<eos>']"
42,where can i go shopping?,we're 3 miles away from midtown shopping center and there is no traffic on our way,"['<pad>', 'stanford', 'shopping', 'center', 'is', 'center', 'miles', 'away', '<unk>', '<eos>']"
43,does the forecast call for snow today,tell me what city you would like to know about snow today?,"['<pad>', '<pad>', 'do', 'city', 'want', 'the', 'forecast', 'for', '<unk>', '<eos>']"
44,get me directions to a local cafe,we're 5 miles away from starbucks: would you like to go there?,"['<pad>', '<pad>', 'navigating', 'the', 'is', 'to', 'to', 'westin', '<unk>', '<eos>']"
45,what's the weather forecast for today and tomorrow,in what city are you interested?,"['what', 'city', 'what', 'city', 'city', 'hear', 'the', 'in', '<unk>', '<eos>']"
46,give me directions to the nearest shopping mall,there is the midtown shopping center 3 miles away and no traffic on the route: set this destination on your gps?,"['<pad>', '<pad>', 'navigating', 'mall', 'is', 'town', 'and', 'country', '<unk>', '<eos>']"
47,find me the quickest route to the grocery store.,hacienda market is the closest grocery store 1 mile away,"['<pad>', '<pad>', 'the', 'the', 'the', 'to', 'to', 'the', '<unk>', '<eos>']"
48,give me the forecast for the next 7 days,for what city?,"['for', '<pad>', 'city', 'city', 'you', 'you', 'like', 'info', 'for', '<eos>']"
49,schedule meeting,schedule a meeting for what time and day?,"['<pad>', '<pad>', 'what', 'days', 'should', 'schedule', 'your', 'meeting', 'meeting', '<eos>']"
50,check forecast for today and tomorrow,what city do you want to hear the forecast for?,"['what', 'city', 'would', 'you', 'like', 'hear', 'forecast', 'for', '<unk>', '<eos>']"
51,what's the weather going to be like this week,what location should i look up the weekly forecast for?,"['what', 'city', 'do', 'you', 'want', 'the', 'weather', 'for', '<unk>', '<eos>']"
52,where is a nearby parking garage?,"the nearest one is palo alto garage r, it's just 1 miles away","['<pad>', 'we', 'parking', 'parking', 'miles', 'away', 'miles', 'dish', 'parking', '<eos>']"
53,will there be drizzle in redwood city this weekend?,there will be no drizzle in redwood city this weekend.,"['in', 'city', 'be', 'city', 'city', 'be', 'in', 'city', 'city', '<eos>']"
54,make an appointment for the doctor on the 12th,at what time should i set the appointment?,"['<pad>', '<pad>', '<pad>', 'the', 'to', 'recorded', 'at', 'at', '12th', '<eos>']"
55,will there be clear skies in danville on thursday?,dew is predicted in danville on thursday,"['it', 'will', 'be', 'be', 'skies', 'in', 'in', 'next', '<unk>', '<eos>']"
56,is it gonna snow in durham during the week?,durham does not have any snow predicted this week.,"['it', 'will', '<unk>', '<unk>', 'on', 'monday', 'on', 'on', 'monday', '<eos>']"
57,what is the weather like this week,what city do you want the weather for?,"['what', 'city', 'do', 'you', 'want', 'the', 'weather', 'for', '<unk>', '<eos>']"
58,will it be dry in new york on wednesday?,it will be dry wednesday in new york.,"['corona', 'will', 'is', 'be', 'on', 'be', 'on', 'wednesday', 'wednesday', '<eos>']"
59,check weather forecast for seattle,for what day would you like to know?,"['<pad>', '<pad>', 'which', 'days', 'are', 'you', 'interested', 'in', '<unk>', '<eos>']"
60,what is the weather forecast for the weekend,for what city would you like to know that?,"['what', 'city', 'would', 'you', 'like', 'the', 'weather', 'forecast', 'for', '<eos>']"
61,when's my tennis match,your tennis match is tuesday at 11am.,"['the', 'next', 'is', 'is', '<unk>', 'at', 'at', 'on', 'am', '<eos>']"
62,"when is my dentist appointment, the date and time?","for which one? i have two, one at 7pm the 8th and one at 10am the 1st.","['your', '<pad>', 'appointment', '5', '5', '5', '5', 'pm', '<unk>', '<eos>']"
63,will it rain next week,what location do you want me to check if it will be rainy?,"['what', 'city', 'what', 'city', 'are', 'you', 'interested', 'in', '<unk>', '<eos>']"
64,will it be warm in grand rapids on saturday?,it will not be warm in grand rapids on saturday.,"['on', 'wednesday', 'is', 'on', 'on', 'be', 'on', 'wednesday', 'wednesday', '<eos>']"
65,get me the weather report for this week,what city do you want the weather for?,"['what', 'city', 'do', 'you', 'are', 'the', 'weather', 'weather', 'for', '<eos>']"
66,what will be the temperature in manhattan on wednesday?,it appears as if there will be a low of 40f and a high of 50f.,"['the', 'wednesday', 'be', 'the', 'be', 'the', 'weather', 'wednesday', '<unk>', '<eos>']"
67,what's the weather like today and tomorrow,for what city would you like today and tomorrow's weather for?,"['what', '<pad>', 'what', 'city', 'you', 'you', 'the', 'forecast', 'for', '<eos>']"
68,will there be drizzle in cleveland tomorrow?,it will not drizzle in cleveland tomorrow.,"['there', 'will', 'not', 'be', 'any', 'in', 'in', 'oakland', 'tomorrow', '<eos>']"
69,when is my dentist appointment,you have a dentist appointment on friday at 7 pm.,"['your', 'doctor', 'appointment', 'appointment', 'is', 'monday', 'at', '11', '<unk>', '<eos>']"
70,pull up directions to 5672 barringer street,here are directions to 5672 barringer street.,"['<pad>', '<pad>', '<pad>', '<pad>', '<pad>', 'to', 'to', 'you', '<unk>', '<eos>']"
71,where can i get tea?,palo alto cafe is 4 miles away and serves coffee and tea. do you want the address?,"['<pad>', '<pad>', '<pad>', 'chevron', 'is', '2', 'miles', 'away', '<unk>', '<eos>']"
72,i need shopping center.,there is a shopping center 3 miles from you. the address is 338 alester avenue. would you like directions?,"['<pad>', '<pad>', '<pad>', 'center', 'is', 'is', 'miles', 'away', '<unk>', '<eos>']"
73,what's the weather forecast,what city would you like the forecast for?,"['what', 'city', 'do', 'you', 'want', 'the', 'weather', 'for', '<unk>', '<eos>']"
74,what is the weather like right now,what city shall i check for you?,"['what', 'location', 'do', 'you', 'want', 'the', 'weather', 'for', '<unk>', '<eos>']"
75,will it be raining this week in redwood city?,there isn't any rain predicted to fall in redwood city this week,"['<pad>', '<unk>', 'be', 'be', 'on', 'be', 'in', 'in', '<unk>', '<eos>']"
76,what is the weather like in the city,what city are you interested in?,"['what', 'city', 'do', 'you', 'want', 'the', 'weather', 'for', '<unk>', '<eos>']"
77,what time is my doctor's appointment,your doctor's appointment is scheduled for friday at 11 am.,"['your', 'doctor', '<unk>', 'appointment', 'is', 'at', 'at', '11', '<unk>', '<eos>']"
78,is there a parking garage within 2 miles?,"yes, i have one listed that is 1 mile away.","['<pad>', 'alto', 'alto', 'center', 'is', '4', 'miles', 'away', '<unk>', '<eos>']"
79,find starbucks,the nearest starbucks is 3 miles away. there is a road block on its way so i already sent on your screen another route to reach faster,"['<pad>', 'there', 'is', 'starbucks', 'starbucks', '4', 'miles', 'away', '<unk>', '<eos>']"
80,will it be foggy on tuesday in redwood city?,it will be cloudy but not foggy in redwood city on tuesday.,"['<pad>', 'will', 'be', 'be', 'on', 'be', 'in', 'on', 'on', '<eos>']"
81,directions to the mall,navigating you to town and country.,"['<pad>', '<pad>', 'the', '<unk>', 'to', 'to', '<unk>', 'country', '<unk>', '<eos>']"
82,check the date and time of my doctor's appointment,your appointment is for tuesday at 11 am.,"['your', 'doctor', '<unk>', 'appointment', 'is', 'at', 'at', '11', '11', '<eos>']"
83,is it going to snow this week,what location do you want to know if it will snow?,"['<pad>', '<pad>', 'what', 'city', 'are', 'you', 'inquiring', 'for', '<unk>', '<eos>']"
84,i need to schedule a doctor's appointment,when?,"['what', 'day', 'what', 'when', 'is', 'is', 'your', 'dentist', '<unk>', '<eos>']"
85,show me the nearest shopping mall,we're 3 miles away from topanga mall and there is heavy traffic on its way,"['the', 'nearest', 'nearest', 'mall', 'is', 'town', 'shopping', 'country', '<unk>', '<eos>']"
86,what's the weather like today and tomorrow,what city are you wanting to know the weather for?,"['what', '<pad>', 'what', 'city', 'you', 'you', 'the', 'forecast', 'for', '<eos>']"
87,show me the weather for the next 7 days,what city would you like the 7 day forecast for?,"['<pad>', '<pad>', 'what', 'city', 'are', 'you', 'the', 'for', 'for', '<eos>']"
88,where does my friend live?,tom lives at 580 van ness ave.,"['<pad>', 'jill', 'lives', 'at', '347', 'alta', 'mesa', 'ave', '<unk>', '<eos>']"
89,check doctor's appointment date,your doctor appointment is on monday at 2 pm.,"['what', 'doctor', 'appointment', 'appointment', '<unk>', 'optometrist', 'optometrist', 'optometrist', 'appointment', '<eos>']"
90,give me weather forecast for today,what city do you want the weather forecast for?,"['what', 'city', 'do', 'you', 'want', 'the', 'weather', 'forecast', 'for', '<eos>']"
91,which temperature there will be in alhambra on thursday?,"on thursday the temperature in alhambra will be low of 20f, and high of 30f","['it', 'will', 'be', 'be', 'be', 'in', 'in', 'forecast', '<unk>', '<eos>']"
92,what is the weather like in the city,what city are you inquiring about?,"['what', 'city', 'do', 'you', 'want', 'the', 'weather', 'for', '<unk>', '<eos>']"
93,what's the weather like in new york,is there a specific day you would like to know the weather for in new york?,"['<pad>', '<pad>', 'are', 'days', 'are', 'you', 'interested', 'in', '<unk>', '<eos>']"
94,is it cloudy in cleveland today?,it is cloudy right now in cleveland.,"['<pad>', 'is', 'it', 'not', 'in', 'in', 'but', 'today', 'today', '<eos>']"
95,i need the closest hospital.,the palo alto medical foundation is 4 miles away at 611 ames ave. would you like directions there?,"['<pad>', '<pad>', '<pad>', 'you', 'is', 'is', 'is', 'starbucks', '<unk>', '<eos>']"
96,info about football please.,your football  activity is on sunday at 9 am with your brother.,"['<pad>', '<pad>', '<pad>', 'to', 'to', 'the', 'or', 'for', '<unk>', '<eos>']"
97,take me to the nearest grocery store,there is a safeway 2 miles away: would you like to get its address?,"['<pad>', '<pad>', 'the', 'the', 'nearest', 'grocery', 'store', 'safeway', 'safeway', '<eos>']"
98,is it currently hailing in manhattan?,"it is not hailing in manhattan, the forecast says it is dry today.","['<pad>', 'is', 'not', 'the', 'in', 'fresno', 'fresno', 'now', 'now', '<eos>']"
99,is it going to be cloudy this week,could you please let me know what place i am looking up the data for?,"['what', '<pad>', 'what', 'city', 'are', 'you', 'weather', 'for', '<unk>', '<eos>']"
100,check weather for new york city,for which time period did you want weather information?,"['<pad>', '<pad>', 'what', 'days', 'are', 'you', 'interested', 'in', '<unk>', '<eos>']"
101,what's the temperature going to be like this week,what city are you in?,"['what', 'city', 'do', 'you', 'want', 'the', 'weather', 'for', '<unk>', '<eos>']"
102,where does my friend live?,jack lives at 864 almanor ln.,"['<pad>', 'jill', 'lives', 'at', '347', 'alta', 'mesa', 'ave', '<unk>', '<eos>']"
103,get me directions to the nearest starbucks,there is no starbucks locally.,"['<pad>', '<pad>', '<pad>', 'there', 'there', 'is', 'starbucks', 'starbucks', '<unk>', '<eos>']"
104,where can i find a parking garage?,palo alto garage r	is at 481 amaranta ave.,"['<pad>', '<pad>', '<pad>', 'garage', 'is', 'garage', '2', 'close', 'close', '<eos>']"
105,which day is my appointment on,which appointment would you like the date for?,"['<pad>', '<pad>', 'appointment', 'appointment', 'is', 'monday', 'optometrist', '11', '<unk>', '<eos>']"
106,will there be clear skies in fresno on wednesday?,"the forecast says there will be snow in fresno, there is no mention of clear skies on wednesday.","['there', 'will', 'be', 'be', 'clear', 'in', 'in', 'wednesday', 'wednesday', '<eos>']"
107,directions to the grocery store,whole foods located at 819 alma st is 1 mile away although there is a car collision nearby,"['<pad>', '<pad>', '<pad>', '<pad>', 'navigating', 'to', 'to', 'safeway', '<unk>', '<eos>']"
108,schedule swimming time,what time do you want to go swimming,"['what', '<pad>', 'i', 'i', 'i', 'i', 'schedule', 'your', 'for', '<eos>']"
109,what is the current temperature,which location do you want to know the current temperature of?,"['what', 'location', 'do', 'you', 'want', 'the', 'weather', 'for', '<unk>', '<eos>']"
110,find me a hotel somewhere near my current location,the clement hotel is 8 miles away at 657 ames ave.,"['<pad>', '<pad>', '<pad>', '<pad>', 'is', 'is', 'is', 'nearby', '<unk>', '<eos>']"
111,what's the weather forecast,what city are you inquiring about?,"['what', 'city', 'do', 'you', 'want', 'the', 'weather', 'for', '<unk>', '<eos>']"
112,will it snow this week,what city can i check for snow for you?,"['<pad>', '<pad>', '<pad>', 'city', 'are', 'you', 'interested', 'in', '<unk>', '<eos>']"
113,remind me to watch football on sunday,what time would like the reminder?,"['what', 'day', 'do', 'you', 'you', 'to', 'to', 'for', '<unk>', '<eos>']"
114,where is the closest tea house?,peets coffee also serves tea. they are 2 miles away at 9981 archuleta ave,"['<pad>', 'midtown', 'shopping', 'health', 'is', '4', 'miles', 'away', '<unk>', '<eos>']"
115,what's the forecast report,what city do you want to hear the forecast report from?,"['what', 'city', 'do', 'you', 'want', 'the', 'weather', 'for', '<unk>', '<eos>']"
116,will it snow in fresno during this week?,saturday it will snow in fresno,"['it', 'will', 'not', 'be', 'windy', 'in', 'fresno', 'this', 'week', '<eos>']"
117,what day is the football game,the football game is on thursday.,"['<pad>', 'football', 'game', 'is', 'at', 'at', 'at', 'at', 'am', '<eos>']"
118,what is on my schedule today,you have an optometrist appointment today at 1pm.,"['<pad>', '<pad>', '<pad>', '<pad>', 'are', 'you', 'you', 'you', '<unk>', '<eos>']"
119,check my agenda for my meetings,the agenda for your meeting is to discuss the merger.,"['<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', 'or', 'tom', '<unk>', '<eos>']"
120,will it be cloudy in inglewood next week?,there aren't any cloudy days in the forecast for inglewood.,"['it', 'will', 'not', 'be', 'cloudy', 'in', 'carson', 'next', 'week', '<eos>']"
121,when am i going swimming?,you have two swimming activities scheduled. one on wednesday at 5pm and the other on the 5th at 4pm.,"['<pad>', 'your', 'is', 'is', 'at', '7', '7', 'pm', '<unk>', '<eos>']"
122,navigate home,home is 5 miles away at 5671 barringer street.,"['<pad>', '<pad>', 'is', 'being', 'give', '<unk>', '<unk>', 'in', '<unk>', '<eos>']"
123,find the nearest hotel,"the nearest hotel is hotel keen, it's 3 miles away. do you want its address?","['the', 'nearest', 'there', 'is', 'miles', 'is', 'miles', 'locally', '<unk>', '<eos>']"
124,what is a quick route home?,"there is heavy traffic in this moment but we're just 1 miles away, it shouldn't take too long to reach there","['<pad>', '<pad>', 'the', 'the', 'is', '4', 'miles', 'away', '<unk>', '<eos>']"
125,will the weather be cloudy next week,"okay, what city should i look in?","['what', 'city', 'do', 'you', 'want', 'the', 'weather', 'for', '<unk>', '<eos>']"
126,where is there a parking garage?,i have located a parking garage 2 miles away at 880 ames ct. called webster garage.,"['<pad>', '<pad>', 'and', 'parking', 'is', 'garage', 'miles', 'away', '<unk>', '<eos>']"
127,set a reminder for my swimming plans,swimming plans,"['<pad>', '<pad>', '<pad>', '<pad>', '<pad>', 'is', 'is', 'the', '<unk>', '<eos>']"
128,what is the agenda of my meeting today,your agenda for your meeting today is go over budget.,"['<pad>', '<pad>', 'is', 'is', 'is', 'is', 'is', 'today', '<unk>', '<eos>']"
129,where can i get tea?,there is 2 tea shops near you; teavana is 4 miles away and cafe venetia is 5 miles away. which one do you want?,"['<pad>', '<pad>', '<pad>', 'chevron', 'is', '2', 'miles', 'away', '<unk>', '<eos>']"
130,give me directions to the local starbucks,i do not have info on the local starbucks but i do see another coffee place. would you like to hear info on it?,"['<pad>', '<pad>', '<pad>', '<pad>', '<pad>', 'is', 'starbucks', 'starbucks', '<unk>', '<eos>']"
131,find a coffee place,philz serves coffee and is 6 miles away at 583 alester ave.,"['<pad>', '<pad>', '<pad>', 'shop', 'is', 'is', 'starbucks', 'away', '<unk>', '<eos>']"
132,where are there chinese restaurants around?,there is a chef chu's and a tai pan.,"['hotel', 'hotel', 'clement', 'hotel', 'is', '2', 'miles', 'away', '<unk>', '<eos>']"
133,check the weather forecast,what city do you want the weather for?,"['what', 'city', 'do', 'you', 'want', 'weather', 'weather', 'for', '<unk>', '<eos>']"
134,this week will it be warm in los angeles?,in los angeles it is gonna be warm on tuesday,"['yes', '<unk>', 'be', 'be', 'be', 'be', 'on', 'on', 'wednesday', '<eos>']"
135,what time is my dinner reservation,your dinner reservation is at 5 pm.,"['<pad>', '<pad>', '<pad>', '<pad>', '<pad>', 'you', 'you', 'pm', '<unk>', '<eos>']"
136,set an appointment to swim next week,what date and time is your swim appointment?,"['what', '<pad>', 'what', '<pad>', 'what', 'you', 'to', 'for', '<unk>', '<eos>']"
137,find me the nearest gas station.,the nearest gas station is located 5 miles away. need more info?,"['<pad>', '<pad>', 'is', 'is', 'is', '2', 'miles', 'away', '<unk>', '<eos>']"
138,what is the weather forecast in cleveland for thursday?,the weather in cleveland on thursday will have dew and a high of 30f.,"['what', '<unk>', 'do', 'you', 'want', 'the', 'forecast', 'for', '<unk>', '<eos>']"
139,need the quickest route to home.,"your home is 4 miles away but there is heavy traffic on our way, i sent the best available route on your screen","['<pad>', '<pad>', 'the', 'quickest', 'route', 'to', 'to', 'route', '<unk>', '<eos>']"
140,where is the nearby shopping center?,stanford shopping center is 4 miles away.,"['<pad>', 'nearest', 'shopping', 'center', 'is', '4', 'miles', 'away', '<unk>', '<eos>']"
141,who will be at the meeting friday,hr will be at the friday meeting.,"['the', 'the', 'do', 'the', 'to', 'the', 'weather', 'weather', '<unk>', '<eos>']"
142,will it be windy in los angeles on sunday?,the weather forecast predicts that it will be stormy in los angeles on sunday,"['it', 'will', 'be', 'be', 'on', 'be', 'in', 'on', '<unk>', '<eos>']"
143,what time is my lab appointment for,your next lab appointment is next monday at 2 pm.,"['your', 'doctor', '<unk>', 'appointment', 'is', 'at', 'at', 'pm', '<unk>', '<eos>']"
144,when am i playing tennis,you are playing tennis on 11 am friday.,"['your', 'tennis', 'tennis', 'is', 'at', 'at', 'or', 'pm', '<unk>', '<eos>']"
145,schedule taking medicine with martha at 5pm next wednesday.,okay scheduling taking medicine with martha at 5pm next wednesday.,"['what', '<pad>', 'i', 'i', 'scheduled', 'scheduled', 'at', 'for', '<unk>', '<eos>']"
146,is the weather cloudy right now,what city do you want the weather for?,"['what', 'location', 'do', 'you', 'want', 'the', 'weather', 'for', '<unk>', '<eos>']"
147,give me the location for the nearest starbucks,there is no starbucks listed locally but i have another coffee shop listed would you like the address to it?,"['<pad>', '<pad>', '<pad>', 'there', 'is', 'is', 'any', 'starbucks', 'starbucks', '<eos>']"
148,find directions to the nearest starbucks,there is no starbucks close but there is two others; one is coupa that is 6 miles away and the other is cafe venetia which is 3 miles away. which one do you want?,"['<pad>', '<pad>', '<pad>', 'there', 'there', 'is', 'starbucks', 'starbucks', '<unk>', '<eos>']"
149,is it supposed to snow today,where would you like to know if it will snow?,"['<pad>', '<pad>', 'what', 'city', 'are', 'you', 'interested', 'about', '<unk>', '<eos>']"
150,give me directions to a place to sleep,the travelers lodge is closest to you at 6 miles away in moderate traffic. would you like directions there?,"['<pad>', '<pad>', 'navigating', 'you', 'is', 'to', 'to', 'house', '<unk>', '<eos>']"
151,which days are rain forecasted,what city would you like weather information about?,"['what', '<pad>', 'what', 'city', 'like', 'you', 'interested', 'in', '<unk>', '<eos>']"
152,find me a gas station.,chevron is 6 miles away.,"['<pad>', '<pad>', '<pad>', 'foods', 'is', '2', 'miles', 'away', '<unk>', '<eos>']"
153,are there any chinese restaurants nearby?,we're 3 miles away from chef chu's and 6 miles away from mandarin roots,"['<pad>', 'jing', 'jing', 'jing', 'jing', 'jing', 'pf', 'changs', '<unk>', '<eos>']"
154,give me the location for the nearest starbucks,there are no starbucks around here but we're 4 miles away from cafe venetia: is it okay to go there?,"['<pad>', '<pad>', '<pad>', 'there', 'is', 'is', 'any', 'starbucks', 'starbucks', '<eos>']"
155,remind me to go swimming at 4:50,am or pm ?,"['<pad>', '<pad>', 'to', 'address', 'is', 'to', 'to', 'the', '<unk>', '<eos>']"
156,what's the current weather in san francisco?,there is currently snow in san francisco,"['<pad>', '<pad>', '<pad>', '<pad>', 'the', 'you', 'interested', 'in', '<unk>', '<eos>']"
157,set a reminder for the conference.,what day and time is the conference,"['<pad>', '<pad>', '<pad>', 'the', 'the', 'for', 'of', 'the', '<unk>', '<eos>']"
158,what's the temperature going to be this week,what city would you like weather information about?,"['what', 'city', 'do', 'you', 'want', 'the', 'weather', 'for', '<unk>', '<eos>']"
159,what's the temperature going to be like this week,what city are you interested in,"['what', 'city', 'do', 'you', 'want', 'the', 'weather', 'for', '<unk>', '<eos>']"
160,find out when my next conferences,friday at 3pm,"['<pad>', '<pad>', 'is', 'is', 'is', 'is', 'is', 'away', '<unk>', '<eos>']"
161,please check the weather for this week,where are you interested in?,"['what', '<pad>', 'what', 'you', 'are', 'you', 'asking', 'for', '<unk>', '<eos>']"
162,where is a nearby rest stop?,the travelers lodge is located 4 miles away at 333 arbol dr. would you like directions there?,"['<pad>', '<pad>', 'the', 'the', 'is', '2', 'miles', 'away', '<unk>', '<eos>']"
163,what is the address of my friend's house?,jacks house is at 864 almanor ln.,"['<pad>', 'your', 'is', 'is', 'at', '113', 'ames', 'ct', '<unk>', '<eos>']"
164,get me directions to the mall,there are the ravenswood shopping center and the stanford shopping center both 3 miles away: do you want me to flip a coin between them or will you pick where to go?,"['<pad>', 'navigating', 'navigating', 'navigating', 'to', 'to', 'to', 'navigating', '<unk>', '<eos>']"
165,find out if it's supposed to rain,what city are you wanting to know if it's going to rain?,"['<pad>', '<pad>', 'shall', 'i', 'i', 'check', 'for', 'for', '<unk>', '<eos>']"
166,show me the nearby hospital,stanford express care is nearby.,"['<pad>', '<pad>', 'the', 'a', 'is', 'is', 'miles', 'away', '<unk>', '<eos>']"
167,i need a coffee shop within 4 miles.,cafe venetia is 2 miles away at 269 alger dr,"['<pad>', 'alto', 'alto', 'cafe', 'is', '4', 'miles', 'away', '<unk>', '<eos>']"
168,find me a hotel that is near my location.,the westin is 6 miles away.,"['<pad>', '<pad>', '<pad>', '<pad>', 'is', 'is', 'is', 'nearby', '<unk>', '<eos>']"
169,where can i buy groceries?,there is a safeway 4 miles away.,"['<pad>', '<pad>', '<pad>', 'joes', 'is', '2', 'are', 'close', '<unk>', '<eos>']"
170,what's the temperature going to be this week,what city are you wanting to know the temperature for?,"['what', 'city', 'do', 'you', 'want', 'the', 'weather', 'for', '<unk>', '<eos>']"
171,get me directions to the nearest starbucks,i am unable to locate starbucks. there is a coffee or tea place called coupa mile away.,"['<pad>', '<pad>', '<pad>', 'there', 'there', 'is', 'starbucks', 'starbucks', '<unk>', '<eos>']"
