inputs,outputs
"what is the weather like in new york this week this week the weather in new york has a mix of snow, rain, fog, and clear skies with a blizzard. will it be cloudy any day this week?",it will not be cloudy and day this week in new york.
how is the climate on camarillo#friday,what city do you want the weather for?
"i'm not feeling well show me the fastest route to the nearest hospital we are Stanford_Childrens_Health#distance away from stanford childrens health: set the gps to go there? yes and pick the fastes route please yes and pick the fastes route please navigating to hospital#poi. this route to stanford childrens health has P.F._Changs#traffic_info and is the quickest route. do you care for the address? i'm not feeling well, just show me the fastest route please",hospital#poi is located at 899 ames ct. and i set the gps.
car i need to reach my friends house in this local area: pick the route with the shortest distance too please,taking you to tom's house on the fastest route.
find directions to home,i do not have directions for home at this moment.
car i need a hotel to get some sleep: is there any in the local area?,travelers lodge is Travelers_Lodge#distance away.
"what time do i need to take my medicine?  you are scheduled to take medicine at 10 am okay, thank you.",no problem
"will it be warm in san mateo over the weekend? it is predicted to be warm on saturday and the high on san_mateo#sunday should reach 80f sounds great, thank you.",you're welcome!
will there be drizzle in the forecast for oakland this week?,there shouldn't be any drizzle in oakland this week.
"over the next seven days will there be any drizzle in camarillo? the weather forecast doesn't call for drizzle in camarillo this week, but it might rain on tuesday and cleveland#wednesday thanks.",you are welcome.
you tell me if the forecast for the next week calls for it to be above 86 degrees on any day for which city  would you like to know those specific details for?  i need to know if it will be windy in compton this week. i am not seeing any weather predictions showing that it will be windy in compton this week. thanks,you are welcome.
i'm in need of coffee: is there any near my current location? starbucks and coffee_or_tea_place#poi are close. which is closer? teavana is Hotel_Keen#distance away with heavy traffic and starbucks is 4 miles with moderate traffic. which do you prefer? let's try coffee_or_tea_place#poi today.,there is home#traffic_info on our way but i sent the best possible route on your screen
what is the 48 hour forecast for oakland?,"storms and a high of 100f are predicted today in oakland, followed by cloudy weather with a high of 60f"
what will the weather be like tomorrow what city are you wanting to know the weather for? i want to know if menlo park is going to be cloudy tomorrow? the weather forecast does not predict cloudy skies in menlo park tomorrow. thanks!,you're welcome.
"where does my friend live? i have a listings for friends_house#poi. is that the friend you speak of? yes, thank you, please pick the shortest distance to reach him!","i sent the info on your screen, drive carefully!"
"schedule a yoga activity with alex on august 14th at 1pm. okay, scheduling a yoga activity with alex for august 14th at 1pm. thank you.",you're welcome.
what time is my doctor's appointment today,your doctor's appointment is scheduled for 1pm today.
what's the weekly weather report for the city what city would you like the weekly weather report for? will it be humid in corona next week? the forecast for exeter#thursday is supposed to be humid for carson.  thanks for the information.,you're welcome.
when is the next cloudy day,what city are you asking about?
is it gonna be misty in san francisco on menlo_park#tuesday?,"it will not be misty on menlo_park#tuesday, in san francisco the weather is predicted to be dry."
"tell me the closest place to get a cup of hot tea coupa is located Coupa#distance away from here at 394 van ness ave. would you like directions there? is there a coffee shop within The_Westin#distance? if not, please give me directions via the shortest route.  coffee_or_tea_place#poi is the only nearby coffee shop, do you want to go there? yes, thank you car, let's go!",setting navigation now to coffee_or_tea_place#poi.
car i'm desiring to do some shopping: which one is it the nearest shopping center? anything within Pizza_Chicago#distance?,"sorry, town and country is the nearest one at Town_and_Country#distance."
what is the forecast for today's weather for what city would you like to hear today's forecast? what is the high in san mateo? 70f is the high temperature for san mateo today thanks for the information.,you're very welcome!
"navigate to my friend's home please do you know the address of friend's home? actually i need to go home, the quickest route please.  the quickest route home is Cafe_Venetia#distance away with heavy traffic located at 5671 barringer street. thanks. the quickest route to home is in home#traffic_info.  ok well set the gps to there please. setting navigation to home#address now thank you so much car!",you're welcome!
please look up the date and time of my swimming activity.,"you have three swimming activities scheduled. one on the 4th at 9am, another on the 12th at 1pm, and the last on the 19th at taking_medicine#time."
what will the weather be like in the city,what city are you wanting the weather for?
give me directions to some nearby hotels,we're Dish_Parking#distance away from the clement hotel: send you its address on screen?
will there be a blizzard in seattle this week?,there is gonna be no blizzard this week in seattle
i have to go grocery shopping can you give me directions to the nearest grocery store the nearest grocery store is grocery_store#poi which is two miles away at 819 alma st.  pick a quick route to go there and send the address on my map please!,sending the address and route to grocery_store#poi at 819 alma st to your map.
"i need a reminder, it's for a swimming activity at 10am, 14th of august, with mother. okay, i am setting a reminder for a swimming activity on august 14th at 10am with your mother. thanks.","okay, i am scheduling a swimming activity with your mother for august 14th at 10am."
"get me the address to the hospital asap. the hospital hospital#poi is located at 611 ames ave. thanks! do you want me to set the gps? no i am good, thanks.","you're welcome, have a great day."
"where can i get gas? i have a couple gas stations listed, both Shell#distance away. how is the traffic to them? both have Shell#traffic_info at the moment. give me the address of either one with the fastes route shell is Shell#distance away at 53 university av with moderate traffic noted.  thank you car, let's go there!",you can find the route on your gps. you're welcome!
where do i live?,your home address is home#address.
what will be the lowest temperature in grand rapids over the next seven days?,the lowest temperature in grand rapids over the next seven days will be 20f on alhambra#saturday
"is it going to rain at all this upcoming week which city would you like the rain forecast for? new york yes, there will be rain on mountain_view#monday this week in new york. thank you!",you are welcome!
"hi, please set up a reminder for my dinner on the 11th at 4pm with my sister. thanks!",set! have a good time
"what's the weather like on my drive today where are you gonna drive today? camarillo, what the temperature?","in camarillo the temperature is low of 40f, and high of 60f"
schedule an optometrist appointment next friday at 4 pm with tom,"okay, i am scheduling a optometrist appointment with tom for next friday at 4pm."
where does my friend live?,"you have two friends listed; jill and tom, which one?"
car what is the date and time of my next appointment with my optometrist,your optometrist appointment is dentist_appointment#date at 7 pm
can you find out the date and parties attending for my tennis activity?,your brother will be attending your tennis activity on tennis_activity#date.
where can i get chinese food? we're P.F._Changs#distance away from p.f. changs: would you like me to highlight its position on your map? is there any other places within 4 miles?,chinese_restaurant#poi is the only listing i have.
where can i find a rest stop? the rest_stop#poi is close. what is the address?,rest_stop#poi is at 578 arbol dr.
"what time is dinner and who is attending?  you have two dinners, one on monday at 8 pm with taking_medicine#party and one on the 8th at 5 pm with marta thank you.",you are very welcome.
give me the fastest route to a rest stop .,"the travelers lodge is located Philz#distance away, though there is a road block nearby. would you like directions there?"
what grocery stores are around? i have two grocery stores listed. which would you like to know about? which has less traffic? they both have Whole_Foods#traffic_info. could you please tell me their name and address? whole foods is Whole_Foods#distance away and sigona farmers market is 2 miles away. which do you prefer? let's go to grocery_store#poi please.,"alright, heading to grocery_store#poi at 648 amherst st"
what is the chance of rain next week of which city do you want to know the chance of rain? will it rain in alhambra?,it is not forecasted to rain in alhambra next week.
schedule an appointment at 5pm at the end of march with tom. scheduling your appointment with tom at the end of the month at 5 pm. set the appointment to be a lab appointment.,"okay, changing schedule for your appointment to a lab appointment."
"i need to find a hospital quickly, without any Four_Seasons#traffic_info stanford express care is 5 miles away with Civic_Center_Garage#traffic_info. would you like directions there?  yes, where is it?","its address is Stanford_Express_Care#address, i sent its position on your screen"
take me to a fast food restaurant we are 3 miles away from pizza my heart and Pizza_Chicago#distance away from pizza chicago: which one do you prefer? let's go to the one near me and on the quickest route going to pizza_restaurant#poi. thanks can you show me the address please?,"i sent the address on your screen, Pizza_My_Heart#address, you're welcome!"
"i have an optometrist appointment the 7th at 3pm okay, i will set a reminder and schedule a optometrist appointment on the 7th at 3pm for you. thank you very much. you're welcome. great.","have a good day, goodbye."
"what is the location and time of the meeting, and who is attending?",you have two meetings scheduled. one at 3pm in conference room 100 with the vice president and another at 7pm in conference room 100 with the meeting#party. do you need the dates as well?
what is the weather forecast in the city what city should i check the weather forecast for? boston for what day would you like the forecast in boston for? the next 7 days,"in boston, it will be clear and humid monday and tuesday, snowy and windy wednesday and thursday, hot on friday and cleveland#sunday, and drizzling on saturday.,"
i need to schedule a lab appointment.  what day and time shall i set a reminder for your lab appointment? please set it for 7pm on august 3rd. my mother will be there as well.,"okay perfect, i have that all scheduled for you. can i help with anything else?"
"what is the current temperature what city do you want to know the temperature for? compton, please!",current temperature is low of 60f and high of 70f.
any chinese restaurant around me?,there is a pf changs located within P.F._Changs#distance of you.
"give me directions to my friends house i don't see any address listed as that. do you have an alternate one? mmm, no, i'm sorry, if you don't see it forget about it, i remember the road, let's hope to avoid all Pizza_My_Heart#traffic_info..","sorry, i just found it, 56 cadwell street, i set the gps to get there and don't worry, there is home#traffic_info now!"
where can i find tea around me the nearest tea places are phils in Philz#distance and teavana in 6 miles: there is heavy traffic to reach phils and no traffic on the route to teavana. let's try teavana since it has Teavana#traffic_info.  teavana is Teavana#distance away at 145 amherst st. we should be there soon.  please set the gps to coffee_or_tea_place#poi.,"i sent the info on your map, drive carefully!"
are there any chinese restaurants here? there is chinese_restaurant#poi and pf changs. which has less traffic? they are the same. ok well let's go to the closest one. they are both Jing_Jing#distance away with moderate traffic to each location.  let's go to jing jang's. what's the address?,chinese_restaurant#poi is located at 113 arbol dr.
remind me about dinner tonight what time would you like a reminder for dinner tonight? dinner is at 7 pm tonight.,i have added dinner tonight at 7 pm to your calendar. what time would you like the alarm?
"schedule a yoga activity with jon on wednesday at 1pm. okay, i am scheduling a yoga activity with jon for wednesday at 1pm. thank you so much.",it is my pleasure.
get me the address of a coffee or tea place around me that has Teavana#traffic_info,there is a peets coffee 1 mile away at 9981 archuleta ave and there is Teavana#traffic_info.
what is the weather for the next 7 days in what city are you? cleveland.,"in cleveland it will be rain on monday, blizzard on tuesday, raining on wednesday, foggy on thursday, overcast on friday, cloudy on saturday, lowest temperature on alhambra#sunday"
"can you give me directions to the nearest coffee_or_tea_place#poi the nearest starbucks is Starbucks#distance away at 792 bedoin street. that's good, pick a route to avoid all Ravenswood_Shopping_Center#traffic_info please","there is Starbucks#traffic_info in this moment, i've set the navigation there"
"show me the locations of all of the nearby motels there are the westin 4 miles away, and the comfort inn and hotel keen, both Hotel_Keen#distance away pick one in the area and avoid all Hotel_Keen#traffic_info please","then let's go at the westin hotel, there is Comfort_Inn#traffic_info and it's nearby. the address is 329 el camino real"
remind me that i have a meeting with my boss on the 13th of next month at 5pm,okay setting reminder for your meeting with your boss on the 13th of next month at 5pm.
fastest way to get to a nearby coffee place?,the best option is cafe venetia at 3 miles away with Jing_Jing#traffic_info. you want the address?
which days will be cloudy this week for which city would you like to know that?   what city would you like the cloudy weather information for? will it be cloudy in san mateo this week?,this week in san mateo it will be cloudy on monday and grand_rapids#sunday.
i need a rest stop.,"rest_stop#poi, hotel keen, and the clement hotel are all near."
"what time is my next dinner and who will be attending it? i have two, which one? one with mother on the 16th or one with aunt on dinner#date? the one on dinner#date. thanks.  the dinner on dinner#date is scheduled for 7pm. thank you",you are welcome.
"can you schedule an optometrist appointment at 1pm, friday, with martha?  your optometrist appointment with martha at 1pm on friday has been scheduled.  thank you.",you are welcome.
what is the weather going to be like tomorrow show me the 7 day forecast where do you need the forecast for? i'm in san jose.,it will be snowy in san jose tomorrow.
will it be raining in the next 7 days for what location do you need information about any potential upcoming rain? durham it's not gonna rain in durham next week thank you,you're welcome!
"show me directions to the nearest starbucks there is no starbucks nearby, but a peets coffee is located Peets_Coffee#distance away. would you like directions there? yes please that sounds good.  setting directions to 9981 archuleta ave, Peets_Coffee#distance away. there's a car collision nearby, so drive carefully.  i will, thank you car!",you're welcome
"find me a nearby tea or coffee shop coffee_or_tea_place#poi is 1 mile away without any traffic. the address is 269 alger drive. pick a route with Trader_Joes#traffic_info and let's go there, thank you!",taking you to coffee_or_tea_place#poi.
"car what is the temperature going to be today and tomorrow which city would you like today and tomorrow's temperature for? alhambra, please","in ahlambra the temperature will be low 30f and high of 40f today, and low of 40f and high of 60f tomorrow"
i have a doctor's appointment to get a tooth removed and i have to go,what day and time should i set your doctor's appointment?
"what is the weather forecast for the upcoming week what location are you asking about? fresno for fresno this week, it will be windy on monday, humid on tuesday, drizzling on wednesday, overcast on thursday, drizzling on friday, hot on saturday, and drizzling on exeter#sunday. perfect, thank you!",you're very welcome!
"over the next seven days will there be any drizzle in camarillo? the weather forecast doesn't call for drizzle in camarillo this week, but it might rain on tuesday and cleveland#wednesday thanks.",you are welcome.
put on my calendar that i need to get my lab results this thursday at 3:30,where will you pick up the results?
find me a nearby coffee shop specifically starbucks,there is no starbucks nearby.
"car find me a local chinese restaurant with the fastest route. mandarin roots is only Mandarin_Roots#distance away. thanks. would you like the address? please send it on my screen along with the fastest route, thank you!","the address of the restaurant is 271 springer street, i sent on your screen the route to avoid the Mandarin_Roots#traffic_info"
i need to find a parking garage with Hotel_Keen#traffic_info in the route.,"the nearest one is palo alto garage r, it's Hotel_Keen#distance away but there is moderate traffic on our way: will it work anyway?"
"where is there a hospital around me? we're The_Westin#distance away from stanford express care: do you want me to set the gps to go there? ok, please give me the address and direct me there via a quick route.  the address is Stanford_Express_Care#address; setting navigation now.  thank you car!",you're welcome!
"where is the meeting and when is it, also who is attending?","for which one? i have you listed for two, one in conference room 100 at 11 am on the 20th with executive team, and one in conference room 50 at taking_medicine#time on tuesday with hr."
update me on the weekly weather forecast for this week what city would you like to hear the weather forecast for? will it be dry in durham next week? it will be dry on downtown_chicago#monday in durham. thanks.,happy to help
will it be stormy in redwood city on new_york#wednesday?,"no, new_york#wednesday it will be hot in redwood city"
are there any chinese restaurants here? there is chinese_restaurant#poi and pf changs. which has less traffic? they are the same. ok well let's go to the closest one.,they are both Jing_Jing#distance away with moderate traffic to each location.
"will it be warm in camarillo over the next 2 days? no, it's not gonna be warm in camarillo over the next 2 days thank you car!",you are very welcome
what's the weekly forecast what city would you like to know the weekly forecast for? is it going to be dry in san jose this week?,it will be dry in san jose on san_jose#tuesday.
is it going to rain today which location are you asking about? oakland,"no, no rain, today it's gonna snow in oakland"
what time is my next football activity and who will be attending? your next football activity will be with football_activity#party at 5pm. thanks!,not a problem!
"what's the weather forecast for the next week what city do you need next weeks weather forecast for? im in boston, i need to find out if it will be windy this week. i have inglewood#tuesday with a low of 80f, high of 90f and windy. the only windy day in fact.  perfect!",no problem.
where can i get chinese food? there is panda express 7 miles away but there is also a Coupa#traffic_info oh no is there any other options?,"i'm afraid there are no other options nearby but i sent another route on your screen, you should be able to reach there fast enough"
send me to the nearest gas station,chevron located at 783 arcadia pl is the nearest gas station which is Chef_Chu's#distance away.
what's the weather like this week,what city would you like to know the weather for?
what is the temperature going to be like this week what city can i give you the weather forecast for? fresno please,"in fresco on monday it will be between 70-80f, tuesday 70-90f, wednesday 20-40f, thursday 90-100f, friday 20-40f, saturday 80-90f, and san_jose#sunday 20-40f."
will it be cloudy,what location do you want the weather for?
"can you find me the closest hospital to me? the closest hospital, stanford express care is Stanford_Express_Care#distance from your location how's the traffic? there is a Stanford_Express_Care#traffic_info. can we avoid the collision? yes, i can help you avoid the collision. great, please give me the address and details via the quickest route.","the address is Stanford_Express_Care#address, i highlighted it on your map together with the quickest route"
what time is my meeting 1pm please set a reminder for 1pm for meeting,set reminder for meeting yoga_activity#date at 1pm?
"car, schedule a conference at 1pm today with the infrastructure team.  okay, scheduling a conference with the infrastructure team for today at 1pm. thank you.",you are welcome.
"navigate to the nearest fast food restaurant we are Round_Table#distance away from the pizzeria round table: does it sound good to you? it sounds great, what is the address? pizza_restaurant#poi is located at 113 anton ct. anything else? nope that's it. thanks for the help.",you are welcome.
take me to a place where i can get some hot tea,there is a peets coffee and a coffee_or_tea_place#poi close by.
"find out some information for my swimming activity, parties joining me and date.  okay which one, i have two. one is the 8th with jeff and the other is on the same day with dentist_appointment#party. the one on swimming_activity#date.","both swimming activities are on the 8th, the one at 10am is with dentist_appointment#party and the other at 2pm is with jeff."
can you please take me to a coffee house,you best bet for coffee is Teavana#distance away at coupa located at 394 van ness ave.
will there be hail in los angeles today?,it will be raining but not hailing in los angeles today.
can you give me the address and the quickest route directions to a gas station within two miles of here?,the only gas station is shell at Shell#distance away but a roadblock is being reported.
i'd love to go shopping are there any malls nearby,"there is town and country Town_and_Country#distance away, it should be perfect for you!"
navigate to the nearest hotel,"there are two nearby hotels. the clement hotel and hotel keen, they are both Chef_Chu's#distance away."
tomorrow will there be frost in manhattan?,there will not be frost in manhattan tomorrow.
"where can i get pizza? there is a pizza_restaurant#poi 1 mile away. what's the traffic like? there is toms_house#traffic_info to pizza chicago. then let's go there, thank you car!",you are welcome
"find the nearest chinese place on the map the closest chinese restaurant is pf changs Dish_Parking#distance away. pick a route to avoid all Cafe_Venetia#traffic_info and send me its address on map please pf changs is at P.F._Changs#address. thank you car, let's go there!",you're welcome and we are on our way.
"what hospital is close? stanford childrens health is Stanford_Childrens_Health#distance away. please avoid all Stanford_Childrens_Health#traffic_info and send me the route to get there, thank you im sorry stanford childrens health is the only hospital i can find. it is Stanford_Childrens_Health#distance away through heavy traffic at 899 ames ct ok sounds good, set the navigation there please.",you're welcome and the navigation has been set.
"navigate to my friend's home please navigating to tom's house. give me the address. tom's home address is toms_house#address. thank you car, please send me the address on screen and pick a quick route for me",tom's address is toms_house#address. setting gps for the fastest route now.
i need to set up a reminder to go to the dentist for what time would you like me to set the reminder? 3pm on tuesday.,setting reminder for dentist at 3pm on tuesday.
"i need a grocery store near me, with Willows_Market#traffic_info. there is willows market Willows_Market#distance away and the road should be free from cars: is it good for you? yes, please give me the address and directions via the route that avoids all heavy traffic.",willows market is located at 409 bollard st. with Willows_Market#traffic_info reported.
"i need information about my conference.  your conference is on conference#date at 7pm with hr in conference room 50 to discuss the company picnic.  ok, great.",you're welcome
"navigate to the nearest coffee shop we're jills_house#distance away from starbucks and there is a road block nearby: do you want to go there anyway? is coffee_or_tea_place#poi the closest coffee shop? the closest coffee shop is coffee_or_tea_place#poi, 1 miles away. where is coffee_or_tea_place#poi? coffee_or_tea_place#poi is located at 269 alger dr sounds good, make a route to coffee_or_tea_place#poi with no traffic i sent the best route on your screen, enjoy your trip! thank you very much car!",you're welcome!
how is the weather in the city this weekend what city would you like the weekend weather for? please tell me if there will be frost in menlo park this week. there will be no frost in menlo park this week. thank you.,glad to help
"find the address to a chinese restaurant that i could get to the quickest. the best option is jing jing, it's Mandarin_Roots#distance away and there i moderate traffic on our way: would you like me to send you the position on your screen? give me the address. chinese_restaurant#poi is located at 113 arbol dr.  please pick the route with the shortest distance and let's go there!",shortest route set and have a great day.
"car i need to rest in a hotel, please send me the quickest option available the quickest hotel is hotel keen and is Hotel_Keen#distance away. do you want the address? yes sounds great.",rest_stop#poi is at 578 arbol dr.
"what is the weather like today and tomorrow what city should i check the 2 day forecast for? in compton, please tell me if it will be humid. it will not be humid the next 2 days in compton. thanks.",you're very welcome!
"will it be cloudy what city are you located in? in manhattan, will it be cloudy in the next 48 hours?",it is not predicted to be cloudy in manhattan in the next 48 hours.
what is the current temperature,what city do you want to know the temperature for?
"is it gonna be hot in danville during the week? in danville the forcast is a high of 50f on monday, a high of 60f on tuesday, a high of 40f on wednesday, a high of 80f on thursday, a high of 100f on friday, a high of 50f on saturday and a high of 40f on san_francisco#sunday. thank you.  you are welcome. goodbye.",bye
"remind me about my doctor appointment at 9 am today, my sister is coming.",setting a reminder for your doctor's appointment with your sister at 9 am today.
remind me to pick up lab results,at what time do you need to pick up results
"i'm really in need of coffee: is there anything with The_Clement_Hotel#traffic_info between my coffee and me? starbucks is The_Clement_Hotel#distance away with no traffic. what is the address? coffee_or_tea_place#poi is at 792 bedoin street. is there any route with The_Clement_Hotel#traffic_info to reach it? sure, there is The_Clement_Hotel#traffic_info in this moment, i sent you its location on your screen! let's head over there.","i sent the route on your screen, drive carefully!"
