,inputs,outputs
36,"what is the date of football and who is coming? you have four football activities scheduled; one on the 5th with john, on the 10th with marie, one on the 16th with alex, and one on monday with father.  thanks.",have a great day.
37,will it be stormy in redwood city on wednesday?,"no, wednesday it will be hot in redwood city"
38,"will it be stormy in redwood city on wednesday? no, wednesday it will be hot in redwood city thank you.",anytime.
39,is it going to snow today,what city should i check for you?
40,is it going to snow today what city should i check for you? san mateo please.,"today is gonna be windy in san mateo, with expected low temperature of 40f, and high of 50f"
41,"is it going to snow today what city should i check for you? san mateo please. today is gonna be windy in san mateo, with expected low temperature of 40f, and high of 50f thanks so much.",you're welcome. glad i could be of assistance.
42,what day and time is my yoga class?,your yoga activity is on the 3rd at 10 am.
43,what day and time is my yoga class? your yoga activity is on the 3rd at 10 am. thank you kindly.,you are welcome.
44,is the weather cloudy right now,what location do you want the weather for?
45,is the weather cloudy right now what location do you want the weather for? alameda.,it is not cloudy in alameda right now.
46,is the weather cloudy right now what location do you want the weather for? alameda. it is not cloudy in alameda right now. thanks.,you're welcome. have a great day.
47,will the weather be hail in alhambra during the next seven days?,there shouldn't be any hail during the next seven days in alhambra
48,will the weather be hail in alhambra during the next seven days? there shouldn't be any hail during the next seven days in alhambra thank you.,you're welcome.
49,schedule a yoga activity with tom on the 8th at 2pm.,"okay, scheduling a yoga activity with tom for the 8th at 2pm."
50,"schedule a yoga activity with tom on the 8th at 2pm. okay, scheduling a yoga activity with tom for the 8th at 2pm. thanks!",my pleasure.
51,i need to find the shortest route to the hospital.,sorry it appears the nearest hospital is 8 miles away. palo alto medical foundation is located at 611 ames ave with heavy traffic noted.
52,i need to find the shortest route to the hospital. sorry it appears the nearest hospital is 8 miles away. palo alto medical foundation is located at 611 ames ave with heavy traffic noted.  can you send me the directions?,palo alto medical foundation is located at 611 ames ave
53,"i need to find the shortest route to the hospital. sorry it appears the nearest hospital is 8 miles away. palo alto medical foundation is located at 611 ames ave with heavy traffic noted.  can you send me the directions? palo alto medical foundation is located at 611 ames ave thank you car, please pick the route with the shortest distance to reach there!",i sent the route on your map. you're welcome!
54,give me the closest fast food restaurant,i do not have a listing for any fast food places but i do have a pizza restaurant that is 3 miles away. would you like more info on it?
55,give me the closest fast food restaurant i do not have a listing for any fast food places but i do have a pizza restaurant that is 3 miles away. would you like more info on it? sure find the fastest route to a pizza place that is within 3 miles of me.,"pizza hut is 3 miles away, would you like the address?"
56,"give me the closest fast food restaurant i do not have a listing for any fast food places but i do have a pizza restaurant that is 3 miles away. would you like more info on it? sure find the fastest route to a pizza place that is within 3 miles of me. pizza hut is 3 miles away, would you like the address? yes, please!","704 el camino real, i've already set the navigator to go there"
57,"give me the closest fast food restaurant i do not have a listing for any fast food places but i do have a pizza restaurant that is 3 miles away. would you like more info on it? sure find the fastest route to a pizza place that is within 3 miles of me. pizza hut is 3 miles away, would you like the address? yes, please! 704 el camino real, i've already set the navigator to go there thank you car!",you're welcome!
58,what is the date of my nextt dentist appointment and who will be attending it?,your next dentist appointment is on the 2nd with sister.
59,what is the date of my nextt dentist appointment and who will be attending it? your next dentist appointment is on the 2nd with sister.  thank you.,you're welcome.
60,is it going to rain at all this upcoming week,what city shall i check for rain?
61,is it going to rain at all this upcoming week what city shall i check for rain? redwood city,chance of rain on saturday in redwood city.
62,is it going to rain at all this upcoming week what city shall i check for rain? redwood city chance of rain on saturday in redwood city. okay thank you,no problem
63,is there a nearby rest stop?,hotel keen and the westin are both nearby.
64,is there a nearby rest stop? hotel keen and the westin are both nearby. which has the least amount of traffic at the moment.,they both have none.
65,is there a nearby rest stop? hotel keen and the westin are both nearby. which has the least amount of traffic at the moment. they both have none. what is the address for keen?,"578 arbol dr, we're 2 miles away from it. set the navigation there?"
66,"is there a nearby rest stop? hotel keen and the westin are both nearby. which has the least amount of traffic at the moment. they both have none. what is the address for keen? 578 arbol dr, we're 2 miles away from it. set the navigation there? yes, sounds great.",alright
67,"give me the address of the nearest shopping center to me, with the fastest route to it",stanford shopping center is 2 miles away at 773 alger dr.
68,"give me the address of the nearest shopping center to me, with the fastest route to it stanford shopping center is 2 miles away at 773 alger dr. is there any traffic?",there is moderate traffic on the way to stanford shopping center.
69,"give me the address of the nearest shopping center to me, with the fastest route to it stanford shopping center is 2 miles away at 773 alger dr. is there any traffic? there is moderate traffic on the way to stanford shopping center. then pick the fastest route and let's go there, thank you car!",i sent on your screen the fastest route to the shopping center. and you're welcome!
70,what is the weather like today in tomorrow,what city are you inquiring about?
71,what is the weather like today in tomorrow what city are you inquiring about? will it be cloudy in compton today?,compton is not showing a forecast for cloudy skies today.
72,what is the weather like today in tomorrow what city are you inquiring about? will it be cloudy in compton today? compton is not showing a forecast for cloudy skies today. ok.,you are welcome.
73,tell me the time of today's meeting,the meeting is at 7pm
74,tell me the time of today's meeting the meeting is at 7pm  perfect.,anything else?
75,find me a gas station that i can get to the quickest without any traffic,"the nearest gas station is located at 91 el camino real, but there is a roadblock nearby."
76,"find me a gas station that i can get to the quickest without any traffic the nearest gas station is located at 91 el camino real, but there is a roadblock nearby. anything else around?",i'm sorry but this is the only option in a 6 miles range
77,"find me a gas station that i can get to the quickest without any traffic the nearest gas station is located at 91 el camino real, but there is a roadblock nearby. anything else around? i'm sorry but this is the only option in a 6 miles range ok, please give me directions via the fastest route.","there is a road block nearby, i sent on your screen a slightly longer road that will allow you to reach faster"
78,"find me a gas station that i can get to the quickest without any traffic the nearest gas station is located at 91 el camino real, but there is a roadblock nearby. anything else around? i'm sorry but this is the only option in a 6 miles range ok, please give me directions via the fastest route.  there is a road block nearby, i sent on your screen a slightly longer road that will allow you to reach faster thank you",you're welcome!
79,where does my friend live?,tom's house is 6 miles away at 580 van ness avenue.
80,where does my friend live? tom's house is 6 miles away at 580 van ness avenue.  is that the fastest route?,"i'll send the route with no traffic on your screen, drive carefully!"
81,"where does my friend live? tom's house is 6 miles away at 580 van ness avenue.  is that the fastest route? i'll send the route with no traffic on your screen, drive carefully! thank you",you are welcome
82,show me traffic for going home,there is no traffic listed going to 10 ames street.
83,"show me traffic for going home there is no traffic listed going to 10 ames street.  then pick the fastest route and set the gps to go there, thank you!",setting navigation now.
84,"show me traffic for going home there is no traffic listed going to 10 ames street.  then pick the fastest route and set the gps to go there, thank you! setting navigation now.  thanks for the help.",you're welcome!
85,will it be dry in fresno on sunday?,"no, on sunday in fresno there will be a blizzard."
86,"will it be dry in fresno on sunday? no, on sunday in fresno there will be a blizzard. okay, thank you",no problem.
87,car i'm desiring to have pizza: is there any restaurant within 2 miles?,i have a pizza restaurant located 1 mile away.
88,car i'm desiring to have pizza: is there any restaurant within 2 miles? i have a pizza restaurant located 1 mile away. what is the address?,dominos is at 776 arastradero rd.
89,car i'm desiring to have pizza: is there any restaurant within 2 miles? i have a pizza restaurant located 1 mile away. what is the address? dominos is at 776 arastradero rd. thanks!,you're welcome!
90,search hotels near me,the comfort inn is the only rest stop nearby. it is 6 miles away and there is a car collision nearby
91,search hotels near me the comfort inn is the only rest stop nearby. it is 6 miles away and there is a car collision nearby find an alternate route please.,setting navigation to 753 university ave now.
92,"search hotels near me the comfort inn is the only rest stop nearby. it is 6 miles away and there is a car collision nearby find an alternate route please. setting navigation to 753 university ave now.  thank you car assistant, make sure the route is the shortest distance.",i did! and you're welcome!
93,set a reminder for my conference call tomorrow,what time should i set a reminder for tomorrow's conference call?
94,set a reminder for my conference call tomorrow what time should i set a reminder for tomorrow's conference call? tomorrow at 2 pm.,i have scheduled a conference call for tomorrow at 2 pm.
95,take me to the parking garage closest to my destination,"the closest  parking garage is 	palo alto garage r which is only 2 miles away, but there is a road block in the area."
96,"take me to the parking garage closest to my destination the closest  parking garage is 	palo alto garage r which is only 2 miles away, but there is a road block in the area.  uhh ok well i still need to park so what's the address?",setting navigation now to 481 amaranta ave.
97,"take me to the parking garage closest to my destination the closest  parking garage is 	palo alto garage r which is only 2 miles away, but there is a road block in the area.  uhh ok well i still need to park so what's the address? setting navigation now to 481 amaranta ave. thank you.",your welcome.
98,where can i get coffee,"there is palo alto cafe 2 miles away or, if you prefer, philz 6 miles away"
99,"where can i get coffee there is palo alto cafe 2 miles away or, if you prefer, philz 6 miles away give me the address of philz.",philz is at 583 alester ave.
100,"where can i get coffee there is palo alto cafe 2 miles away or, if you prefer, philz 6 miles away give me the address of philz. philz is at 583 alester ave. thanks so much. is that the fastest route available?",no actually there is another coffee shop that's just two miles away. it's called palo alto cafe and located at 436 alger dr.
101,"where can i get coffee there is palo alto cafe 2 miles away or, if you prefer, philz 6 miles away give me the address of philz. philz is at 583 alester ave. thanks so much. is that the fastest route available? no actually there is another coffee shop that's just two miles away. it's called palo alto cafe and located at 436 alger dr.  set gps for the fastest route to palo alto cafe.",setting gps to fastest route to palo alto cafe now.
102,"where can i get coffee there is palo alto cafe 2 miles away or, if you prefer, philz 6 miles away give me the address of philz. philz is at 583 alester ave. thanks so much. is that the fastest route available? no actually there is another coffee shop that's just two miles away. it's called palo alto cafe and located at 436 alger dr.  set gps for the fastest route to palo alto cafe. setting gps to fastest route to palo alto cafe now. thanks bud.",no problem
103,schedule meeting.,what details shall i add to your meeting reminder?
104,schedule meeting.  what details shall i add to your meeting reminder? please set it for the 13th at 11am. it is going to be with management and to discuss our company picnic. thank you.,reminder set for your meeting at 11am on the 13th with management to discuss your company picnic.  is there anything else?
105,"schedule meeting.  what details shall i add to your meeting reminder? please set it for the 13th at 11am. it is going to be with management and to discuss our company picnic. thank you. reminder set for your meeting at 11am on the 13th with management to discuss your company picnic.  is there anything else? that is all, thank you.",you're welcome
106,what is the weather like in new york city,what would you like to know about the weather in new york?
107,what is the weather like in new york city what would you like to know about the weather in new york? what will the temperature be on thursday?,"on thursday the temperature in new york will be low of 90f, and high of 100f"
108,"what is the weather like in new york city what would you like to know about the weather in new york? what will the temperature be on thursday? on thursday the temperature in new york will be low of 90f, and high of 100f thank you very much car!",you're welcome!
109,can you find me the fastest route to a pizza restaurant?,"the pizza hut is located 5 miles away in heavy traffic, and papa johns is 6 miles away in moderate traffic. which of these would you prefer?"
110,"can you find me the fastest route to a pizza restaurant? the pizza hut is located 5 miles away in heavy traffic, and papa johns is 6 miles away in moderate traffic. which of these would you prefer? let's try papa johns tonight.",setting the gps for papa john's anything else?
111,"can you find me the fastest route to a pizza restaurant? the pizza hut is located 5 miles away in heavy traffic, and papa johns is 6 miles away in moderate traffic. which of these would you prefer? let's try papa johns tonight.  setting the gps for papa john's anything else? give me the address and the details for the fastest route there, please.","ok, setting navigation to 110 arastradero rd now. enjoy!"
112,"can you find me the fastest route to a pizza restaurant? the pizza hut is located 5 miles away in heavy traffic, and papa johns is 6 miles away in moderate traffic. which of these would you prefer? let's try papa johns tonight.  setting the gps for papa john's anything else? give me the address and the details for the fastest route there, please.  ok, setting navigation to 110 arastradero rd now. enjoy! thank you car!",you're welcome!
113,i have a meeting tomorrow at 5 pm remind me 10 minutes before hand and attach my agenda to the calendar at 3,i have scheduled a meeting for tomorrow at 5 pm. i will remind you at 4:50 pm and attach your agenda.
114,does the forecast say it will snow,what city do you want to know the snow forecast for?
115,does the forecast say it will snow what city do you want to know the snow forecast for? i need to know about compton for my trip.,do you want me to check if it will snow on a specific day or the entire week?
116,does the forecast say it will snow what city do you want to know the snow forecast for? i need to know about compton for my trip.  do you want me to check if it will snow on a specific day or the entire week? please check if it will snow today or tomorrow,frost is predicted in compton today but there is no snow for today or tomorrow.
117,does the forecast say it will snow what city do you want to know the snow forecast for? i need to know about compton for my trip.  do you want me to check if it will snow on a specific day or the entire week? please check if it will snow today or tomorrow frost is predicted in compton today but there is no snow for today or tomorrow. thank you,you're welcome.
118,i really need to have an appointment scheduled for tennis on the 7th at 11 am.,i am scheduling tennis on the 7th at 11 am.
119,i really need to have an appointment scheduled for tennis on the 7th at 11 am. i am scheduling tennis on the 7th at 11 am.  thanks.,you're welcome
120,where's the closest place to park,the closest parking garage is 4 miles away. would you like the address and name of it?
121,where's the closest place to park the closest parking garage is 4 miles away. would you like the address and name of it? yes please.,"the parking garage is the webster garage, 3 miles away at 880 ames ct"
122,"where's the closest place to park the closest parking garage is 4 miles away. would you like the address and name of it? yes please. the parking garage is the webster garage, 3 miles away at 880 ames ct thanks so much.",happy to help!
123,i need to find a shopping center.,the stanford shopping center at 773 alger dr is 3 miles away in no traffic. would you like directions there?
124,i need to find a shopping center.  the stanford shopping center at 773 alger dr is 3 miles away in no traffic. would you like directions there? yes please.,"i sent all the info on the screen, please drive carefully!"
125,"i need to find a shopping center.  the stanford shopping center at 773 alger dr is 3 miles away in no traffic. would you like directions there? yes please. i sent all the info on the screen, please drive carefully! thank you.",you're welcome!
126,is it raining today in grand rapids?,it is not raining today in grand rapids.
127,is it raining today in grand rapids? it is not raining today in grand rapids. thank you,anytime.
128,when is my football activity and who is going with me?,"you have 3 football activities lined up. 2pm on monday with tom, 1pm on monday with your dad, and on sunday at 1pm with your mother"
129,find out if it's supposed to rain,where would you like to know about the forecast for rain?
130,find out if it's supposed to rain where would you like to know about the forecast for rain? i'm interested in fresno.,there is no rain in the forecast.
131,find out if it's supposed to rain where would you like to know about the forecast for rain? i'm interested in fresno. there is no rain in the forecast.  thank you,you are welcome.
132,what grocery stores are here?,there is a safeway 4 miles away.
133,what grocery stores are here? there is a safeway 4 miles away. what is the address?,safeway is at 452 arcadia pl.
134,what grocery stores are here? there is a safeway 4 miles away. what is the address? safeway is at 452 arcadia pl. can you set the navigation to there? thanks.,"sure, i sent the position and the quickest route on your screen, you're welcome!"
135,i'm in pain navigate me to the nearest hospital,i have two hospitals located 1 mile away. which one would you like to know about?
136,i'm in pain navigate me to the nearest hospital i have two hospitals located 1 mile away. which one would you like to know about? pick the fastest to reach on the quickest route,"then let's go at palo alto medical foundation, there is no traffic on our way and its address is 611 ames ave"
137,"i'm in pain navigate me to the nearest hospital i have two hospitals located 1 mile away. which one would you like to know about? pick the fastest to reach on the quickest route then let's go at palo alto medical foundation, there is no traffic on our way and its address is 611 ames ave sounds great, thank you.",you're welcome!
138,search for nearby starbucks,there is no starbucks nearby.
139,search for nearby starbucks there is no starbucks nearby. how about other coffee?,there is a coffee place 2 miles away. do you need the address and name?
140,"search for nearby starbucks there is no starbucks nearby. how about other coffee? there is a coffee place 2 miles away. do you need the address and name? yes, please, send those info on my screen and pick a quick route to go there, thank you!",philz is a coffee shop located at 583 alester ave. setting your gps for the quickest route possible now.
141,"search for nearby starbucks there is no starbucks nearby. how about other coffee? there is a coffee place 2 miles away. do you need the address and name? yes, please, send those info on my screen and pick a quick route to go there, thank you! philz is a coffee shop located at 583 alester ave. setting your gps for the quickest route possible now. thank you car!",you are welcome.
142,will it be windy in redwood city today?,it is not predicted to be windy today in redwood city
143,will it be windy in redwood city today? it is not predicted to be windy today in redwood city okay thanks,you are very welcome
144,what's the weather forecast in new york,what information can i give you about new york's weather?
145,what's the weather forecast in new york what information can i give you about new york's weather? i need to know what the lowest temperature will be in new york in the next few days.,it will be 30f on wednesday in new york.
146,"what's the weather forecast in new york what information can i give you about new york's weather? i need to know what the lowest temperature will be in new york in the next few days. it will be 30f on wednesday in new york. thank you so much, let's hope it won't be rainy..",i hope so too!
147,set a reminder,when should i set this reminder and what for?
148,"set a reminder when should i set this reminder and what for? i need to see the optometrist, set it for 7 pm on august 12th, please.",your reminder has been set to see the optometrist at 7pm on aug 12th.
149,"set a reminder when should i set this reminder and what for? i need to see the optometrist, set it for 7 pm on august 12th, please.  your reminder has been set to see the optometrist at 7pm on aug 12th. thank you",my pleasure serving you.
150,when do i have dinner planned for,your dinner is at 5 pm monday.
151,"set a reminder for a lab appointment at 6 pm on sunday, august 8th with sister.","okay, scheduling a lab appointment with your sister for sunday, august 8th at 6pm."
152,"set a reminder for a lab appointment at 6 pm on sunday, august 8th with sister.  okay, scheduling a lab appointment with your sister for sunday, august 8th at 6pm. thanks.",you're welcome.
153,in the next 48 hours will it rain in alhambra?,just a little: the weather in alhambra will be drizzle today and overcast tomorrow
154,in the next 48 hours will it rain in alhambra? just a little: the weather in alhambra will be drizzle today and overcast tomorrow thank you.,sure!
155,what is the forecast in my city,what city do you want the weather for?
156,"what is the forecast in my city what city do you want the weather for? inglewood, what's the weekly weather looking like?","there is a wide range of conditions for inglewood next week, from 40-100f and snow to hot.  are there any particular details you would like?"
157,"what is the forecast in my city what city do you want the weather for? inglewood, what's the weekly weather looking like? there is a wide range of conditions for inglewood next week, from 40-100f and snow to hot.  are there any particular details you would like? when is it expected to snow?",it is expected to snow on wednesday in inglewood.
158,"what is the forecast in my city what city do you want the weather for? inglewood, what's the weekly weather looking like? there is a wide range of conditions for inglewood next week, from 40-100f and snow to hot.  are there any particular details you would like? when is it expected to snow? it is expected to snow on wednesday in inglewood. thanks.",no problem!
159,what is the weather next week,what city are you wanting to know the weather for?
160,what is the weather next week what city are you wanting to know the weather for? mountain view please.,"in mountain view, it will be 30-40f monday, 80-100f tuesday, 90-100f wednesday, 90-100f thursday, 70-80f friday, 90-100f saturday, and 70-80f sunday."
161,"what is the weather next week what city are you wanting to know the weather for? mountain view please. in mountain view, it will be 30-40f monday, 80-100f tuesday, 90-100f wednesday, 90-100f thursday, 70-80f friday, 90-100f saturday, and 70-80f sunday. will it be hot any of the days?",the only day of the week it will be hot is on monday with a high of high of 40f.
162,"what is the weather next week what city are you wanting to know the weather for? mountain view please. in mountain view, it will be 30-40f monday, 80-100f tuesday, 90-100f wednesday, 90-100f thursday, 70-80f friday, 90-100f saturday, and 70-80f sunday. will it be hot any of the days? the only day of the week it will be hot is on monday with a high of high of 40f. thanks for the information.",you're welcome.
163,set a reminder that i have football at 1pm next wednesday with martha,i have scheduled football at 1pm next wednesday with martha
164,set a reminder that i have football at 1pm next wednesday with martha  i have scheduled football at 1pm next wednesday with martha thank you very much assistant.,you are welcome
165,what is the date and time of my doctor appointment?,you have two doctor appointments scheduled. one on wednesday at 6pm and the other on thursday at 9am.
166,what is the date and time of my doctor appointment? you have two doctor appointments scheduled. one on wednesday at 6pm and the other on thursday at 9am. thank you.,you're welcome.
167,on tuesday in san mateo find out if it will be warm,"it will be hot in san mateo, tuesday's forecast predicts the high temperature will reach 100f"
168,"on tuesday in san mateo find out if it will be warm it will be hot in san mateo, tuesday's forecast predicts the high temperature will reach 100f thank you car!",you are welcome.
169,"find out immediately the location, time, and date for my meeting.","for which one? i have one in conference room 100 at 10am on friday, and one in conference room 50 at 10 am on saturday."
170,"find out immediately the location, time, and date for my meeting.  for which one? i have one in conference room 100 at 10am on friday, and one in conference room 50 at 10 am on saturday. that will do just fine, thanks.",you're welcome!
171,will it be windy in durham this week?,the forecast does not predict any windy days this week in durham
172,will it be windy in durham this week? the forecast does not predict any windy days this week in durham thanks.,"you're welcome, have a great day."
173,what time is my swimming scheduled for,your swimming activity is scheduled for thursday at 3pm.
174,give me directions to the nearest shopping center,"the nearest shopping mall is midtown shopping center, it's 4 miles away"
175,"give me directions to the nearest shopping center the nearest shopping mall is midtown shopping center, it's 4 miles away can you pick the shortest distance to go there?",setting gps now.
176,"give me directions to the nearest shopping center the nearest shopping mall is midtown shopping center, it's 4 miles away can you pick the shortest distance to go there? setting gps now. thank you.",you're welcome!
177,will there be dew in brentwood this week?,there is no dew in the forecast for brentwood this week.
178,will there be dew in brentwood this week? there is no dew in the forecast for brentwood this week.  thanks.,no problem.
179,what time and date is my lab appointment?,"you have three lab appointments scheduled. the first is on the 5th at 4pm, the next is on the 10th at 11am, and the last is on the 19th at 11am."
180,"what time and date is my lab appointment? you have three lab appointments scheduled. the first is on the 5th at 4pm, the next is on the 10th at 11am, and the last is on the 19th at 11am. great, goodbye.",goodbye.
181,give me the forecast for the next 7 days,what city would you like to hear the 7 day forecast for?
182,give me the forecast for the next 7 days what city would you like to hear the 7 day forecast for? redwood city please.,redwood city is forecast to be cloudy and cold with a chance of a blizzard; lows in the 20s are expected with highs near 60.
183,give me the forecast for the next 7 days what city would you like to hear the 7 day forecast for? redwood city please. redwood city is forecast to be cloudy and cold with a chance of a blizzard; lows in the 20s are expected with highs near 60.  thanks so much.,you're welcome.
184,when is my next meeting,your next meeting is friday at 1 pm.
185,give me directions to the nearest grocery store,there is trader joes 5 miles away: would you like to get more info?
186,"give me directions to the nearest grocery store there is trader joes 5 miles away: would you like to get more info? sure, please send me its address on screen and pick a route to avoid all heavy traffic",trader joes is located at 408 university ave.
187,"give me directions to the nearest grocery store there is trader joes 5 miles away: would you like to get more info? sure, please send me its address on screen and pick a route to avoid all heavy traffic trader joes is located at 408 university ave. got it, thanks!","awesome, you're welcome."
188,"give me directions to the nearest grocery store there is trader joes 5 miles away: would you like to get more info? sure, please send me its address on screen and pick a route to avoid all heavy traffic trader joes is located at 408 university ave. got it, thanks! awesome, you're welcome. great!",glad to help
189,check the weather for the 7 day forecast,what city are you interested in?
190,"check the weather for the 7 day forecast what city are you interested in? los angeles, please. will it be hot?",it will be hot today in los angeles.
191,"check the weather for the 7 day forecast what city are you interested in? los angeles, please. will it be hot? it will be hot today in los angeles. thanks so much for the information.",you're welcome!
192,please give me the address and directions via the quickest route to a hospital around me.,stanford express care hospital at 214 el camino real is there 3 miles away through moderate traffic
193,"please give me the address and directions via the quickest route to a hospital around me.  stanford express care hospital at 214 el camino real is there 3 miles away through moderate traffic fantastic, thank you",you are welcome
194,"what day is my lab appointment, and who all will be there?",your lab appointment is set for the 4th and jon will be there.
195,"what day is my lab appointment, and who all will be there? your lab appointment is set for the 4th and jon will be there. thanks!",no problem
196,set reminder for eye doctor appointment on the 12th at 3 pm,i have set a reminder for your 3 pm eye doctor appointment on the 12th.
197,i feel like some coffee where's the nearest place,we're 5 miles away from peets coffee	
198,i feel like some coffee where's the nearest place we're 5 miles away from peets coffee	 are they any closer options?,no peets coffee is the only option.
199,"i feel like some coffee where's the nearest place we're 5 miles away from peets coffee	 are they any closer options? no peets coffee is the only option.  then let's go there, please pick a quick route for me",peets is 5 miles away in moderate traffic; setting navigation to 9981 archuleta ave now.
200,"i feel like some coffee where's the nearest place we're 5 miles away from peets coffee	 are they any closer options? no peets coffee is the only option.  then let's go there, please pick a quick route for me peets is 5 miles away in moderate traffic; setting navigation to 9981 archuleta ave now. thank you.",you are welcome.
201,when am i playing tennis,your tennis game is at 7 pm wednesday.
202,set reminder for doctor's appointment for the tenth,what time is it?
203,schedule a dentist appointment at 3 next month on the 12th,i have scheduled a dentist appointment for 3 pm next month on the 12th. is that correct?
204,show me the nearest shopping mall,we are 1 miles away from stanford shopping center: does it sound good to you?
205,show me the nearest shopping mall we are 1 miles away from stanford shopping center: does it sound good to you? give me the address.,"the address is 773 alger dr, i sent it on your screen"
206,"show me the nearest shopping mall we are 1 miles away from stanford shopping center: does it sound good to you? give me the address. the address is 773 alger dr, i sent it on your screen set gps for a route without any traffic.",there is moderate traffic but you should be able to reach it fast anyway
207,"show me the nearest shopping mall we are 1 miles away from stanford shopping center: does it sound good to you? give me the address. the address is 773 alger dr, i sent it on your screen set gps for a route without any traffic. there is moderate traffic but you should be able to reach it fast anyway is there an alternate mall with no traffic on the route?",no that's the closest and fastest available.
